reels_shortcode,p,q,M,constant
DUS115OkZeP,0.08274097743082863,0.08171908685901032,137,21883.401336661456
DUQIkwBkXF7,0.08277360302506769,0.08135814669787629,249,21914.156048956214
DT7sePuEQ5U,0.0826291396664521,0.08295735628245764,178,21778.296980314975
DT4gp1oEck1,0.08253997075775953,0.08394574312838779,192,21694.850723182048
DTmWZFbEXvs,0.08251936431106639,0.08417429379664004,165,21675.611299718807
DTjid7Hk831,0.08299370494742353,0.07892656582025702,188,22122.74435736321
DTb59eZkYr3,0.08273697256035834,0.08176340218616544,255,21879.62903303403
DTKRSriEXGI,0.08298667037240394,0.07900418815821904,202,22116.047810085838
DS9bga5keI3,0.08265160396702038,0.08270850722290085,151,21799.369052790793
DSce4Gtk-cQ,0.08286191195998747,0.08038183481639534,232,21997.61331923133
DSZwXOokS0C,0.08275142923573386,0.08160344321469205,158,21893.24919272102
DSU8EZRk9Xy,0.08263802766007959,0.08285889177376912,518,21786.631755378658
DST4k2XkZE6,0.08301070535903167,0.07873900155638125,203,22138.936051891535
DSSA0ZgkQ17,0.08278708334801474,0.08120905089581355,206,21926.875700198445
DSN8oXCk5S_,0.08313909639515506,0.07732362045596641,251,22261.594519277074
DSMt8ZPERPH,0.08269790143055933,0.0821958421091578,409,21842.860171335804
DSL3TwZkzTh,0.08311935797033913,0.07754108481771309,312,22242.694237626234
DSKW0FfEzmP,0.08252102453157951,0.08415587797699559,254,21677.160763324588
DSIQGz-iYMx,0.08321864002963833,0.07644774834291901,114,22337.919927857416
DSIM2a9icBT,0.08306669135956875,0.0781215634931787,194,22192.340790798266
DR_UL4SkzGM,0.08280691340345522,0.08098976617079455,149,21945.599910132492
DRwPPjUEZV9,0.0831052872336423,0.07769613571672433,186,22229.23056671768
DLctq3Szjvd,0.08318443750535516,0.07682426453202491,14,22305.069861940097
DDT8sbtz8kj,0.08253577130788942,0.08399231589567818,199,21690.928507900047
DDCNLoVzw2T,0.08285126370877884,0.08049950708758338,133,21987.533613911484
DBoQu-jO159,0.08278317599075745,0.08125226495447428,345,21923.18808514767
C_IKRbXykz-,0.08264349723088726,0.08279830267981443,159,21791.76243303916
C9kRq-fyvUL,0.08312502540203758,0.07747864006332182,185,22248.119408399532
C9Y2AQAyGyS,0.08275387126076603,0.08157642545342023,178,21895.550732249365
C8_T55hSikd,0.08315658767616448,0.07713095356464282,152,22278.35620891997
C8wqRz8SQqu,0.08277858486399747,0.0813030436804324,207,21918.855929886737
C8tCFzQSvHb,0.08294485467512316,0.0794657251133157,170,22076.282373105114
C8rrj0ISz0o,0.08299028535663731,0.07896429820371664,210,22119.488838113535
C8CJ08WykWZ,0.08264935751598791,0.08273338955544193,180,21797.260928416923
C7yzWwgy0zD,0.08282488775762438,0.08079104405709794,128,21962.585421365886
C7wXIfjyco-,0.08282195713604343,0.08082344190897597,163,21959.81514785729
C6-XnLByd-R,0.08322968278953072,0.07632621551764276,463,22348.5361338602
C5jKLw1yL4F,0.08286523345426643,0.08034513232648584,366,22000.758392831176
C1cBv3sSVQG,0.0826509202640388,0.08271608004618398,548,21798.727428138835
C1OblG_Symt,0.08252463796149795,0.084115797568485,513,21680.533508159977
C0-fN75SRHs,0.08251829005209119,0.08418621008192463,649,21674.608764636527
Cy78UVnSDsq,0.08262757694984034,0.08297466964902714,411,21776.831854979373
Cud8zPMsGOz,0.08251916899117342,0.08417646038422277,486,21675.429017164057
Ckq9b2MpYaC,0.08257678988788422,0.08353750476583888,792,21729.268897910333
CklbVrOAU61,0.0825181923922372,0.08418729338708138,961,21674.517627382822
CkhjQ22P5Xs,0.08253118123015409,0.08404322330233402,645,21686.642246450352
CkfDirrrwEZ,0.0828066203458049,0.08099300650796347,615,21945.323081307593
DWYvnEXjAgA,0.0830169584511215,0.07867002060447345,1790,22144.894598183535
DPRIztAE2Qh,0.08328822106934701,0.0756822131024156,3329,22404.895733119884
DM5doyATyc0,0.08335829525671415,0.07491185208370336,377,22472.54480031249
DL13CtLBhLf,0.08308418147133147,0.07792875389895552,513,22209.050338742116
DI2C9sGI2E1,0.08318052871420133,0.07686730333834663,3351,22301.318645904805
DGVFImlzrH-,0.08307822112219004,0.07799445608832269,1285,22203.35461086507
DEH134cT9mx,0.08324121428727368,0.07619931977910502,372,22359.62746850311
DCWevN_v2uC,0.08328724377660743,0.07569296123144745,2741,22403.953672765092
C935FZ3y8U_,0.08335868619934393,0.0749075559410931,539,22472.92277330622
C9ekRgqyONw,0.0832205944922167,0.07642623710893211,1440,22339.798535023612
C8cWXfkBQZY,0.08314202787506286,0.07729132751178434,1972,22264.40286110838
C7WJnZGy07F,0.08280290828909925,0.08103405161950408,1135,21941.816885082997
C52n9eXhQTn,0.08327444132314511,0.07583377164057684,1756,22391.616339596887
C3CwAzeBMYJ,0.08321287438557806,0.07651120898779626,1041,22332.378957036686
Cy5--wYhgTa,0.08329193478979827,0.07564137119151289,1138,22408.475923732585
Cxu7FG2hx6X,0.08307548523520698,0.07802461581131014,4689,22200.740667530357
CvFKjXDrSGe,0.08326750265204966,0.07591009643465646,1709,22384.93253242035
CuzNEaYhF4H,0.08318013783586174,0.07687160731358793,1873,22300.94355899934
CuTtNS_hLoC,0.08318179906977914,0.0768533155376124,3581,22302.537721915578
Ctgzb0jBwRh,0.08290167286930783,0.0799425662840658,2528,22035.2912387423
CtgVNSNBVKp,0.08292218889718757,0.07971598652771827,2629,22054.757165879517
CrD67AsBKLa,0.08323554624761904,0.07626169039110686,4291,22354.175107877596
CphHCVoh6Ci,0.08332272006794118,0.0753028729461184,1690,22438.175854278
CmOf3wBhizT,0.08334383047858777,0.07507082143181568,2293,22458.564267515103
CkXnZvZB5c6,0.08333112508955945,0.07521047606485583,3257,22446.29124478164
Cg3q4qIBbyG,0.08326877310963061,0.0758961210674128,3133,22386.156178883408
CwchdjvhOSx,0.0829683025308276,0.07920689503635277,983,22098.571935603537
CrLpsEYB0VZ,0.08166576238551128,0.09368810528721198,388,20893.140560252607
C8o-gROB2X2,0.08300660178696867,0.07878427270342266,468,22135.026627184005
DWojJC5idCO,0.09510319125393397,0.08238516878257593,268,23807.522263961295
DWmCLglidv3,0.08214548892076465,0.0883301664584667,156,21329.424069923614
DVVl5LIjOuP,0.08297035424235658,0.07918425035759251,193,22100.52334268609
DVL0rliE-BW,0.08248362135752736,0.08457085143473332,215,21642.279105757956
DU0oGJ1iajp,0.08197494934342033,0.09023159228900579,282,21173.31653216095
DUdQToCErul,0.08258294280893548,0.08346929955700247,190,21735.025798345603
DUTF-GyiTA2,0.0829503257960446,0.07940532587687169,259,22081.481259369946
DUIoxYuEqvx,0.0829131031797474,0.0798163231260061,213,22046.134420557304
DT-fxobCRQi,0.08287978953464481,0.08018430376626108,156,22014.54651915602
DT0TD_pCTej,0.08283758720946316,0.08065066458720728,351,21974.593978667715
DS37NJok_7L,0.08252825140347793,0.08407571864171627,249,21683.906777735814
DSz2X_qEuyr,0.08327854591006698,0.07578862431121691,286,22395.571080393845
DSomlvNCYDJ,0.0829010867027939,0.07994904069000773,203,22034.735321911445
DShOBWBEnhf,0.08300748112253037,0.07877457158340602,209,22135.86430293224
DSWZe_Gkyo_,0.08818671741121646,0.09911160618803724,426,21963.152741623966
DSPWM9sCWug,0.08289776509854155,0.07998572972352365,468,22031.585391429668
DRjB6izCZY9,0.08282781838713696,0.0807586471763506,299,21965.356044333974
DPyBbrlCRvd,0.08275328517425601,0.0815829096545752,88,21894.998340698632
DPYOQBriRrS,0.08315082236239005,0.07719445448703845,285,22272.83001235103
DOpxmGBCQeQ,0.08282029645400164,0.08084180112279203,221,21958.24548130687
DNe0hEoBT-4,0.08290401753853639,0.07991666904844312,27429,22037.515046315737
DNQC_ZVymUS,0.08264252051978783,0.08280912191223355,132,21790.84615199625
DNJVMzuTKz4,0.08242395473952792,0.08523318753816998,182,21586.7485420576
DM28p9QhwxF,0.08292492439693866,0.07968577948552166,185,22057.35392170597
DMvE-mfBH8M,0.08269878051547509,0.0821861103101212,405,21843.68679086517
DMNiEFuBqRs,0.08301344108237849,0.0787088218471376,48,22141.54271860026
DL-M5Pqhju6,0.08254836970637226,0.08385260359659381,46,21702.697281454577
DLwvLlGhrrE,0.08279519115930764,0.0811193872340734,34,21934.529480343306
DLt5XWMhjZK,0.08297172205220203,0.07916915416905662,46,22101.824376468274
DLo9GsyBMIu,0.08297338296647974,0.07915082336687586,12,22103.40430616682
DLZzGBYBizH,0.08256995334995311,0.0836132933668921,19,21722.87413013514
DLXTX6By3cM,0.08255842899802761,0.08374106329447331,38,21712.09863834458
DLHsKGHh-hT,0.08322157172482832,0.07641548165314066,58,22340.737897849427
DKtuGR3Bqkp,0.08314994291044407,0.077204141397501,9,22271.98715371642
DKbRA98hGba,0.08334519876014002,0.0750557827840552,15,22459.886377823615
DJ9C0lDBZAi,0.08263119073542824,0.08293463290887947,26,21780.22010690336
DJaz1uMhe_M,0.08252659117188124,0.08409413309974854,18,21682.356831953344
DI8w9NyBbFQ,0.08253440404865642,0.0840074795540435,100,21689.651660592677
DGxv_JghE5A,0.08286621036628739,0.08033433771380392,234,22001.683500047213
DGF1FJZhD9O,0.08297338296647974,0.07915082336687586,161,22103.40430616682
DFW9vMUy08g,0.08318404662560502,0.07682856833525065,79,22304.69471194559
DEhRnPbB7ly,0.08258655644553568,0.08342924453076772,158,21738.407545974183
DDZKVYkBBz-,0.08254749074358082,0.08386235038194156,266,21701.87599707523
DDMlSlEBwkS,0.08251457898383387,0.08422737643883509,374,21671.145818368266
DCEOxjlBuEa,0.08306483488383963,0.07814203134057131,235,22190.567889807106
DB_BYtvhM2z,0.07023574695695324,0.16398474162005508,669,17041.889809058728
DB8KKrNh4kk,0.08012232172161597,0.11112242406679869,50,19547.884440606198
DB8Exkth5V-,0.07463657690594273,0.175583715836754,35,15418.148227097543
DB6KcyHB0iP,0.08286689420522646,0.08032678154910204,264,22002.33109824262
DBoK2V4h38b,0.08302174599915567,0.07861721004462731,163,22149.457694064677
DBI2T4nBexO,0.08261585664715218,0.08310452872131162,257,21765.84655614044
DAYiSedh_Bj,0.08303063721593913,0.07851914015015371,325,22157.934509574585
DALIXASBkRC,0.08252434498024443,0.08411904727613644,662,21680.260022815204
DAAr3oFhZ1E,0.08328665740138688,0.07569941016041581,133,22403.388455564687
C_8KcVohprP,0.08251848537182556,0.08418404347485839,307,21674.791040293567
C_XjW_5BU-A,0.08288438109052622,0.0801335775770898,552,22018.89758633363
C_IN6eHBADO,0.08315326528820885,0.0771675468594812,217,22275.171453693445
C-eqM7ihcGy,0.08289356426069552,0.08003213234504433,159,22027.60230064297
C-ecOszzJIE,0.08281277457311792,0.08092496146712704,109,21951.13721998636
C-dKJ3aBw4u,0.083120237397452,0.07753139487723922,219,22243.535987752715
C9wXxZNhbb7,0.08304236200900472,0.07838983084411075,281,22169.11768748288
C81oTgwhnJq,0.08293557337249194,0.07956819583369387,226,22067.46563316775
C8kAa1GB4m3,0.0828750026141358,0.08023719105313884,180,22010.011215595703
C8bvg5sBSAO,0.0829131031797474,0.0798163231260061,240,22046.134420557304
C8MIw1-yTnW,0.08307822112219004,0.07799445608832269,207,22203.35461086507
C7q7Bk-hlLH,0.08300689489874324,0.07878103898705723,259,22135.305848911325
C7Hj4oyhwjG,0.0832641799238823,0.07594664825340061,171,22381.732542485057
C6gUEezheG4,0.08304500010493719,0.07836073838690294,153,22171.63468021492
C6aE8V3hILQ,0.08292805069082967,0.0796512581863947,181,22060.3220170177
C6V6cCyBs7S,0.08287851953326378,0.08019833483491202,157,22013.343184287794
C6THcRHBflx,0.08299585441001571,0.07890284899747259,2319,22124.79092897629
C5x1_gDS7_E,0.08121941252053275,0.09869910433928576,181,20495.060164049843
C5C1P8KhZZi,0.08305789755533113,0.07821851989363578,221,22183.944092102047
C49o-5aBj7A,0.08283944329566824,0.08063014911499256,305,21976.349625341245
C4c5DjBhC4y,0.08282098026394569,0.08083424140874718,153,21958.891801004473
C35S967Bv4M,0.08309483201294407,0.07781136159676737,117,22219.231588955718
C3vOXnEhXA8,0.08316841155126348,0.07700073457003666,189,22289.693884728957
DVnl3Pgk7KJ,0.08318922579374155,0.07677154433847214,965,22309.665961459097
DGnJyLYBo97,0.0832614435671619,0.07597675068359153,628,22379.09760012503
C78y9K3S9BH,0.08327229130763102,0.07585742099782083,1281,22389.54508740571
DSr4byRD0NQ,0.0831043101059372,0.07770690396870686,129,22228.295892239843
DRPgvPbj4Hh,0.08281150465033202,0.08093900215656123,167,21949.937350969896
DRHF7vZj-O8,0.08307196767638358,0.07806339383787712,296,22197.380335396254
DOP30PXD3ql,0.0831043101059372,0.07770690396870686,320,22228.295892239843
DMj2QNXtvBm,0.0831043101059372,0.07770690396870686,574,22228.295892239843
DMay_8OhaAG,0.0831043101059372,0.07770690396870686,345,22228.295892239843
DK_X8NbJY3n,0.08322802148217591,0.0763444983401282,222,22346.9386831713
DKwiJlxJ55m,0.08334529649460273,0.0750547086029793,92,22459.980817252257
DKFPoBhNQcT,0.08330718072296057,0.075473720648893,170,22423.17954420596
DHP4GHoJR6M,0.0831043101059372,0.07770690396870686,207,22228.295892239843
DHKzfN-JdAo,0.08300171660240487,0.07883816940326792,216,22130.373450215906
DHBPUHjpTWV,0.0831043101059372,0.07770690396870686,152,22228.295892239843
DGcS19spbDs,0.083103919255102,0.07771121129962655,289,22227.922033452407
DGWcr0Fz5D5,0.0831043101059372,0.07770690396870686,218,22228.295892239843
DFZzEmeRQr9,0.08326652537800128,0.07592084684068,124,22383.99131142231
DEjgNbkpsVt,0.08224282664549545,0.08724652343817613,2448,21419.028770546025
DEOn1ofJVkw,0.08297758411396418,0.07910445861001282,561,22107.401103055505
DD_9_qPJDR4,0.08235745621436873,0.08597188168557099,183,21525.023926735288
DD_nEL1JyuZ,0.08310069474109315,0.07774674743659342,1102,22224.837938360026
DDZuB74zYhF,0.08037560760385308,0.10824070844038777,386,19762.68178289734
DDPUnppTmIW,0.08300171660240487,0.07883816940326792,285,22130.373450215906
DBjPiuBKum8,0.08317945379910688,0.07687913931165243,291,22300.28717209418
DBbidjFq8P4,0.0829645899198462,0.07924787232955956,658,22095.04125598128
DBThmkkq1Ju,0.08300796964259537,0.07876918210998148,786,22136.329692045132
DBHH4SYKBvW,0.0831270774104821,0.07745603164802398,685,22250.084020624632
DABLvS8vLE6,0.0832105290476225,0.07653702455785703,296,22330.125396070314
C_06-WeKpli,0.08310587351068849,0.07768967481718021,412,22229.791390268394
C_MDd2TBey7,0.08310460324415617,0.07770367348181462,411,22228.57629045677
C-2bQSKpf2f,0.08310421239321518,0.07770798079982284,356,22228.202426953518
C-PN1mqpfBs,0.08314701140911454,0.0772364317281873,631,22269.17785527605
C74ALNTpFyM,0.0831043101059372,0.07770690396870686,942,22228.295892239843
C7Y78wcJm2K,0.08222281165407387,0.08746925054865233,508,21400.573844785536
C7RFg39tZnz,0.08281072316012714,0.08094764267147954,936,21949.199002634366
C69Zt7IBWpi,0.083103919255102,0.07771121129962655,468,22227.922033452407
C6lYahwpijD,0.08079294251205574,0.10351031220119739,496,20121.647625488076
C6lZD9rJvMU,0.08251829005209119,0.08418621008192463,539,21674.608764636527
C6TUbf2J3V4,0.08310558037212573,0.07769290526211055,2358,22229.510976724505
C6LQHJ-JHGM,0.08313196316052117,0.0774022039971481,721,22254.762367041443
C6EESHPpnXr,0.08315277670260432,0.07717292833122129,485,22274.70314573505
C5fv7QkLngA,0.08320202724010187,0.07663061118904518,240,22321.958143622927
C5fvdlmLjK7,0.0833075716471451,0.07546942226064049,182,22423.55668694644
C41rKcppVm5,0.08278776713698444,0.08120148861311963,652,21927.521096598957
C4wEw4QvDsb,0.08310460324415617,0.07770367348181462,130,22228.57629045677
C4PjuR0rVBB,0.08312219168248151,0.07750986198816111,713,22245.406657635158
C3xrsOwxy-z,0.08333161375561288,0.07520510439737384,616,22446.763160081715
C3cAkmduCQy,0.08297680250389589,0.07911308446045806,417,22106.65745822178
C3TnjV2Pt-5,0.0833156833558071,0.07538023458096876,250,22431.38383030836
C2mC7oEr8AU,0.08315541506748708,0.07714386870322168,293,22277.232125675942
C2Wk8ESuInq,0.08310460324415617,0.07770367348181462,379,22228.57629045677
C2PFJmyOAHT,0.08315736941598799,0.07712234355828744,264,22279.10562925878
C17w_cayef5,0.08311437456352028,0.07759599612637927,344,22237.92492186494
C1hJuF8LQIT,0.08324053021194856,0.07620684707496696,277,22358.969354423378
C0Lxu5NJAzl,0.08330591022033516,0.07548769052936072,400,22421.953874104453
C0A6sZ7pBHe,0.08329056657551923,0.07565641803090203,220,22407.15683958654
Cz3bikdp8IN,0.08334138712297141,0.07509767668320631,396,22456.203549811977
CzZExC_J8KK,0.08325743677157794,0.07602083076158693,250,22375.239851308404
CzIhwMgpGsp,0.08271011100716479,0.08206068606646529,318,21854.343798403836
CxfA3fipMfR,0.08315951920341186,0.07709866639568098,2212,22281.16666517483
Cxb8o2DJyCJ,0.0832074019382476,0.07657144628094976,1955,22327.121001839383
Cw2dxa5pV4E,0.08281853808755699,0.08086124063027379,912,21956.583603716408
Cvx2YLuBwLH,0.08326095493276063,0.0759821262061773,1048,22378.627107345896
CvwlylPpqns,0.08281736584484688,0.08087420049616666,1220,21955.475755196196
CvrtxHRpNS1,0.0826509202640388,0.08271608004618398,334,21798.727428138835
CvPCHcNp1iW,0.08283465655351166,0.08068305823106259,761,21971.822190516246
CvET8GnJxR2,0.08307919822635886,0.07798368496317153,1640,22204.288236637665
Cuu0OFBBhkF,0.0827340421767163,0.08179582918550432,906,21876.869222839166
CuEI_RkpfSH,0.08254358425092002,0.08390567048840085,858,21698.226220267567
CtwPmpjpGyz,0.08220924072413158,0.08762029635067184,593,21388.069551372493
CtdZmDNJzql,0.08257219963622535,0.08358839081325187,857,21724.975060512024
CtRMJOCJSIw,0.08327639588640635,0.07581227267601641,465,22393.499462400556
CtHdIZXAn3O,0.08254358425092002,0.08390567048840085,881,21698.226220267567
CswOAxXJjip,0.08334891267592175,0.07501496465769679,774,22463.475355274935
CsUm46jBpwS,0.08311046602519634,0.07763906577748013,609,22234.18499760706
Cq7lOESpsVv,0.08169747730829842,0.09333300334255279,1367,20921.71187233888
Cn8iHp3JmNi,0.08286396346995675,0.08035916548422155,388,21999.555811600076
CnxwybuhAr-,0.08315727169847921,0.07712341980531805,1492,22279.01195033786
CnF6eBqKZty,0.08328704831816532,0.07569511087014111,737,22403.765265447262
ClriNqpheL6,0.08224145975625606,0.08726173261871971,561,21417.76792801423
Clfj_8Np1o6,0.08321785824559438,0.07645635295687946,790,22337.168529223156
Ck3b_erJNc5,0.08005070297288716,0.11193873469139996,681,19487.564074423564
DHvE-biSr3D,0.08324531874829647,0.0761541571095293,947,22363.57655977294
DHd8gnTy2Bz,0.08328519146472414,0.07571553265198445,854,22401.975474945717
C1eV09ZS54w,0.08321766279967156,0.0764585041211166,2990,22336.98068351375
Che7j0rlRSF,0.08325509133713732,0.07604663457199917,4696,22372.98196544169
CdVkYWHlfYF,0.08291789026868247,0.07976345644438336,1097,22050.6771671968
DWjSzQJRsbW,0.07944656621387214,0.11885076577572408,579,18985.930136489565
C4GB689S3i6,0.08212918546384275,0.0885117849596437,1002,21314.45175192075
C3c0K4lPbPy,0.08200520912715789,0.08989394760865173,305,21200.93373620019
C268QvuPRiW,0.08268188267487685,0.08237319244168968,893,21827.802803620354
CxTAMAgP_H4,0.08209208869276631,0.08892516156815537,355,21280.422156640918
Ct6i488ODId,0.082917206397539,0.07977100866900216,308,22050.02814608834
CsORypZp2lb,0.08273951223259672,0.081735299572983,504,21882.021150140914
Cr0R2luPCfa,0.08310645978805205,0.07768321395636985,119,22230.352227967545
CniwzePP668,0.08269497115266171,0.08222828207133963,671,21840.104998808314
CmybtI6OMdF,0.08320515433396054,0.07659618757424513,990,22324.961843157587
C5Bg247vkHd,0.08315639224129676,0.07713310607698547,5044,22278.168857773988
CuRWhEvsMlB,0.08331402191655655,0.07539850133471845,38935,22429.78045801514
DWghPKaDMIx,0.0832843119036787,0.07572520626291383,747,22401.12772934874
DVBZVfsDLWg,0.08321570834238284,0.07648001599992543,2870,22335.10231329683
DUx4p95ibu8,0.08300484311798716,0.07880367520517512,3437,22133.351370781227
DUxBYlDkYpl,0.08292150502332947,0.07972353842031671,2147,22054.10802468925
DTHvwhSERcZ,0.08309756794879779,0.07778120783995911,521,22221.847709336886
DSkry2uD8mr,0.08329877588711462,0.07556614015175303,1294,22415.07250929732
DO826PQjlm5,0.0830615127773192,0.07817865898468451,451,22187.39568361052
DOI3448k2uh,0.08323779391496802,0.07623695678490254,1878,22356.337091793735
DMNQbTFzKBF,0.08167210529567837,0.09361707567283746,696,20898.851699686144
DMK5pmjTMDN,0.08166400589388739,0.09370777584222138,660,20891.55928989436
DJ-10Yez0oU,0.08312365739856765,0.07749371260373955,211,22246.809763284447
DIko4-ozVZa,0.08309082583362726,0.07785551683418614,1788,22215.401396896315
DH3cXk4zf6s,0.08228246718443286,0.08680554973827671,2434,21455.62550787863
DHtMvFWTJBv,0.08269008737378941,0.08228235083592839,1821,21835.51381682024
DHnnLI9Trnh,0.08301138928922051,0.07873145654991284,1508,22139.587689798995
DHlBaM_z8bt,0.08281052778766404,0.080949802811001,1493,21949.014419431016
DEcX9YuTa7l,0.08282176176155338,0.08082560180029766,1013,21959.630475380847
C_S3vkgP6F5,0.08294114214452526,0.07950671223425435,2785,22072.755254515858
C-7t4_6pJ45,0.0829548199517647,0.07935571474654088,2439,22085.752688930184
C5GNPcUP0iM,0.08261605198449058,0.08310236427584683,4635,21766.029599039066
C0ja3-hPI8D,0.08302047583128809,0.07863122075749311,2407,22148.246985165522
CyiviCtv5HF,0.08327395268288083,0.07583914644884691,786,22391.145583638572
CxXmHW2vVm6,0.08331011265778301,0.07544148315574727,1737,22426.00826937505
CxU2QPoP8Px,0.08322802148217591,0.0763444983401282,1024,22346.9386831713
CvjJI2XAcso,0.08304333908082305,0.07837905576844671,4059,22170.04987369668
CuhD_ZSu96M,0.08318961667536062,0.07676724076315647,1080,22310.0411950629
CuWomzMMReq,0.0832166855705864,0.07646926000678506,29888,22336.04147866076
CuQtZwSAdyf,0.08332809536494798,0.07524378100224144,2725,22443.365591349782
CuMK-84vlI0,0.08330180552972881,0.07553282522951424,1444,22417.99447468764
CtERy3-tRaH,0.08316587087299948,0.07702871418302772,2163,22287.257203349356
CsEaKeiOpY_,0.08312414597103715,0.07748832952938631,942,22247.277484832895
ClvgLUiPhW-,0.0832343735534623,0.07627459510694713,1383,22353.04719926478
CdymwGrlEd7,0.08328753696433673,0.07568973678146153,571,22404.2362867125
CdWg9H3l922,0.0833492058803415,0.07501174224004363,3148,22463.75872002317
CdWeqJyFjD3,0.08336191148142272,0.07487211341971643,931,22476.041293072452
DW0xlzfk9LB,0.07592793160109132,0.1187862315289839,1865,12051.21751439866
DWwaa39kzjF,0.08440566860437539,0.033682239834771484,269,22829.60715349137
DWeK8PbE_yZ,0.08310753463070941,0.07767136914548362,2608,22231.380467163788
DV3mHIwkzAg,0.08280828100687214,0.08097464472576785,1140,21946.891824153277
DVqUHw1E5lr,0.08293488949018143,0.07957574669259504,1287,22066.816117944098
DVialcsk1G5,0.08312512311663726,0.07747756346135995,3734,22248.21295742914
DVBFK4JExwO,0.08279392125714358,0.08113343044900372,919,21933.330519079558
DU0nZoME-sH,0.08290167286930783,0.0799425662840658,3712,22035.2912387423
DUsgKn_EV_A,0.08261439161823755,0.08312076220016952,4559,21764.473783463298
DUlIKGHEwhX,0.08273912151340308,0.0817396230044147,4421,21881.653115103178
DUBBJWyE-M0,0.08266176189074989,0.08259600294458425,491,21808.903986753416
DT1vaScE6Cl,0.08312522083124575,0.07747648686047383,10727,22248.30650685212
DTwT6qyk9Eb,0.08268520361694666,0.08233642230182459,4283,21830.923599936817
DTsYB-GE0nM,0.082779561697848,0.08129223949647392,77651,21919.77759335259
DTplyCfk_BH,0.08282058951535336,0.08083856123886976,1125475,21958.52247313369
DTnk7qgE2ho,0.08281130927772792,0.0809411622788157,196389,21949.752761557636
DTVS5xHkh_R,0.08294329150279385,0.07948298265876723,2920,22074.797201853933
DSXOoHdk5z4,0.08292853917506542,0.0796458643331124,2319,22060.785817985314
DI4EsvKyxM0,0.08318668506665568,0.07679951799728528,3378,22307.227096855062
DGS4DEWzbyu,0.08326320265283152,0.07595739902464692,6223,22380.791456031235
DCS-z9Ri9vk,0.08273980527208448,0.08173205701074901,1375,21882.297180481295
DBLhbuYi5ya,0.08313870553176682,0.07732792625499564,6219,22261.22010046361
C2tq2h1PE9f,0.08306737532511321,0.07811402280524718,2529,22192.99400055089
CzdZMadP1Oa,0.08292472900387014,0.07968793710336639,2366,22057.168429008292
CwuXximviti,0.08321072449225818,0.07653487323670685,3890,22330.31318413188
Cu1ZOq1tVc9,0.08281609591667634,0.08088824052624052,3251,21954.275649042273
Cuo9-uVoVwH,0.05583019884569081,0.42947275329510637,1986,6770.809118001347
DW1_gUME5dq,0.08318404662560502,0.07682856833525065,11215,22304.69471194559
DW1GoSPFVeZ,0.08313118143903393,0.07741081624057543,8088,22254.013765519932
DWnnNwok6ZU,0.08331128543393383,0.07542858842906129,5660,22427.139859353418
DWjHk-ihgJL,0.08322802148217591,0.0763444983401282,7080,22346.9386831713
